uid,begin,end,births
2,2017/6/11,2018/5/27,5
2,2018/5/14,2019/4/29,6
2,2019/5/26,2020/5/10,7
4,2019/12/21,2020/12/5,7
4,2021/4/7,2022/3/23,8
4,2022/4/10,2023/3/26,9
4,2017/1/14,2017/12/30,4
4,2017/12/25,2018/12/10,5
4,2018/12/3,2019/11/18,6
5,2016/11/8,2017/10/24,5
5,2017/10/2,2018/9/17,6
7,2016/9/12,2017/8/28,6
13,2017/8/9,2018/7/25,6
13,2016/2/27,2017/2/11,5
14,2016/10/1,2017/9/16,5
14,2017/10/13,2018/9/28,6
14,2016/11/22,2017/11/7,5
18,2016/8/18,2017/8/3,5
18,2017/12/14,2018/11/29,6
27,2017/7/31,2018/7/16,4
27,2018/7/9,2019/6/24,6
32,2017/6/25,2018/6/10,4
34,2016/12/10,2017/11/25,4
34,2016/10/19,2017/10/4,5
34,2017/10/22,2018/10/7,6
37,2017/1/1,2017/12/17,3
37,2017/12/13,2018/11/28,6
41,2016/10/1,2017/9/16,6
51,2016/10/15,2017/9/30,5
51,2017/10/18,2018/10/3,6
56,2016/8/22,2017/8/7,5
56,2017/8/8,2018/7/24,6
56,2019/7/23,2020/7/7,7
56,2020/9/12,2021/8/28,8
56,2021/8/23,2022/8/8,9
63,2016/11/12,2017/10/28,3
63,2017/10/13,2018/9/28,6
65,2017/3/14,2018/2/27,5
65,2017/3/15,2018/2/28,6
66,2017/7/3,2018/6/18,5
66,2018/6/10,2019/5/26,6
67,2016/10/24,2017/10/9,2
67,2017/11/10,2018/10/26,6
69,2016/10/29,2017/10/14,6
70,2017/5/30,2018/5/15,4
70,2018/5/3,2019/4/18,6
70,2019/7/1,2020/6/15,7
70,2020/6/25,2021/6/10,8
72,2016/9/12,2017/8/28,5
72,2017/9/20,2018/9/5,6
72,2019/12/3,2020/11/17,7
72,2021/4/19,2022/4/4,8
73,2016/9/2,2017/8/18,3
73,2017/8/11,2018/7/27,5
73,2018/8/9,2019/7/25,6
89,2017/5/13,2018/4/28,4
89,2018/5/30,2019/5/15,6
89,2019/7/27,2020/7/11,7
89,2020/8/5,2021/7/21,8
89,2021/8/18,2022/8/3,9
89,2022/7/25,2023/7/10,11
90,2016/1/17,2017/1/1,4
94,2016/8/5,2017/7/21,5
94,2018/1/2,2018/12/18,6
95,2016/12/13,2017/11/28,5
101,2016/12/24,2017/12/9,5
101,2017/12/10,2018/11/25,6
106,2017/7/30,2018/7/15,6
110,2016/11/23,2017/11/8,3
110,2017/1/4,2017/12/20,4
110,2017/10/27,2018/10/12,6
113,2018/5/16,2019/5/1,5
113,2017/1/28,2018/1/13,6
113,2021/1/6,2021/12/22,7
114,2017/1/1,2017/12/17,5
114,2017/12/15,2018/11/30,6
114,2020/1/3,2020/12/18,7
119,2017/6/27,2018/6/12,4
119,2018/10/2,2019/9/17,6
120,2016/10/15,2017/9/30,1
125,2018/6/19,2019/6/4,5
125,2017/7/12,2018/6/27,6
126,2017/4/23,2018/4/8,4
126,2018/4/24,2019/4/9,6
126,2019/4/18,2020/4/2,7
132,2016/11/10,2017/10/26,5
132,2017/9/17,2018/9/2,6
136,2017/12/22,2018/12/7,5
136,2017/1/19,2018/1/4,6
138,2016/4/8,2017/3/24,2
143,2016/12/21,2017/12/6,3
143,2017/12/26,2018/12/11,6
145,2017/1/16,2018/1/1,4
145,2018/2/4,2019/1/20,5
145,2019/1/18,2020/1/3,6
148,2016/6/23,2017/6/8,3
148,2016/7/21,2017/7/6,4
148,2017/9/8,2018/8/24,6
148,2019/7/5,2020/6/19,7
148,2020/7/19,2021/7/4,8
150,2016/11/8,2017/10/24,4
150,2017/10/21,2018/10/6,5
150,2018/10/4,2019/9/19,6
150,2019/9/11,2020/8/26,7
157,2017/4/24,2018/4/9,2
157,2019/1/4,2019/12/20,4
166,2016/8/28,2017/8/13,5
166,2017/8/6,2018/7/22,6
166,2019/7/20,2020/7/4,7
171,2017/4/13,2018/3/29,4
183,2017/5/14,2018/4/29,3
183,2018/4/14,2019/3/30,6
187,2016/8/8,2017/7/24,3
187,2017/8/12,2018/7/28,6
187,2019/6/17,2020/6/1,7
188,2016/8/24,2017/8/9,4
188,2017/9/9,2018/8/25,5
189,2016/10/29,2017/10/14,4
189,2017/9/28,2018/9/13,5
189,2018/8/29,2019/8/14,6
192,2016/6/11,2017/5/27,3
202,2016/11/22,2017/11/7,4
202,2018/1/2,2018/12/18,5
202,2018/12/13,2019/11/28,6
205,2016/1/23,2017/1/7,3
205,2017/9/21,2018/9/6,4
205,2018/9/14,2019/8/30,5
205,2019/8/12,2020/7/27,6
208,2016/12/27,2017/12/12,3
208,2018/1/7,2018/12/23,5
208,2019/2/8,2020/1/24,6
213,2016/11/26,2017/11/11,3
215,2016/8/16,2017/8/1,4
215,2017/9/20,2018/9/5,5
216,2016/8/20,2017/8/5,3
216,2016/9/17,2017/9/2,4
216,2017/9/8,2018/8/24,5
218,2016/7/27,2017/7/12,3
218,2016/10/10,2017/9/25,4
218,2018/2/18,2019/2/3,5
